"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Supply and demand of primary and secondary energy in terajoules, annual",25100029,128-0016,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2510002901",1;2;3;31,"CURRENT - a cube available to the public and that is current",Annual,1995-01-01,2016-01-01,3

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
1,Geography,,
2,"Fuel type",,
3,"Supply and demand characteristics",,

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
1,Canada,11124,1,,,,
1,"Atlantic provinces",1,2,1,,,
1,"Newfoundland and Labrador",10,3,2,,,
1,"Prince Edward Island",11,4,2,,,
1,"Nova Scotia",12,5,2,,,
1,"New Brunswick",13,6,2,,,
1,Quebec,24,7,1,,,
1,Ontario,35,8,1,,,
1,Manitoba,46,9,1,,,
1,Saskatchewan,47,10,1,,,
1,Alberta,48,11,1,,,
1,"British Columbia",59,12,1,,,
1,"Yukon, Northwest Territories and Nunavut",6,13,1,,,
1,Yukon,60,14,13,,,
1,"Northwest Territories",61,15,13,,,
1,Nunavut,62,16,13,,,
2,"Total primary and secondary energy",,1,,,,
2,"Primary energy",,2,1,,,
2,"Crude oil",,4,2,,,
2,"Natural gas",,5,2,,,
2,"Gas plant natural gas liquids (NGL's)",,6,2,,,
2,"Primary electricity, hydro and nuclear",,7,2,,33,
2,Steam,,8,2,,,
2,"Secondary energy",,9,1,,,
2,Coke,,10,9,,,
2,"Coke oven gas",,11,9,,,
2,"Secondary electricity, thermal",,13,9,,,
2,"Total refined petroleum products",,14,9,,,
2,"Refinery liquefied petroleum gases (LPG's)",,15,14,,,
2,"Still gas",,16,14,,,
2,"Motor gasoline",,17,14,,34,
2,"Kerosene and stove oil",,18,14,,,
2,"Diesel fuel oil",,19,14,,35,
2,"Light fuel oil",,20,14,,,
2,"Heavy fuel oil",,21,14,,,
2,"Petroleum coke",,22,14,,,
2,"Aviation gasoline",,23,14,,,
2,"Aviation turbo fuel",,24,14,,,
2,"Non-energy products",,25,14,,,
2,"Total coal",,29,2,,32,
2,"Canadian bituminous",,30,29,,,
2,"Sub bituminous",,31,29,,,
2,Lignite,,32,29,,,
2,Anthracite,,33,29,,,
2,"Imported bituminous",,34,29,,,
3,Production,,1,,,,
3,Exports,,2,,,,
3,Imports,,3,,,,
3,"Inter-regional transfers",,4,,,4,
3,"Stock variation",,5,,,,
3,"Inter-product transfers",,6,,,5,
3,"Other adjustments",,7,,,6,
3,Availability,,8,,,7,
3,"Transformed to electricity by utilities",,10,,,,
3,"Transformed to electricity by industry",,11,,,,
3,"Transformed to coke and manufactured gases",,12,,,,
3,"Transformed to refined petroleum products",,13,,,,
3,"Transformed to steam generation",,14,,,,
3,"Net supply",,15,,,8,
3,"Producer consumption",,16,,,9,
3,"Non-energy use",,17,,,10,
3,"Energy use, final demand",,18,,,11,
3,"Total mining and oil and gas extraction",,20,31,,12,
3,"Pulp and paper manufacturing",,21,28,,13,
3,"Iron and steel manufacturing",,22,28,,14,
3,"Aluminum and non-ferrous metal manufacturing",,23,28,,15,
3,"Cement manufacturing",,24,28,,16,
3,"Refined petroleum products manufacturing",,25,28,,17,
3,"Chemicals and fertilizers manufacturing",,26,28,,18,
3,"All other manufacturing",,27,28,,19,
3,"Total manufacturing",,28,31,,,
3,"Forestry and logging and support activities for forestry",,29,31,,20,
3,Construction,,30,31,,21,
3,"Total industrial",,31,18,,,
3,Railways,,32,42,,,
3,"Total airlines",,33,42,,,
3,"Canadian airlines",,34,33,,23,
3,"Foreign airlines",,35,33,,,
3,"Total marine",,36,42,,,
3,"Domestic marine",,37,36,,24,
3,"Foreign marine",,38,36,,,
3,Pipelines,,39,42,,25,
3,"Road transport and urban transit",,40,42,,26,
3,"Retail pump sales",,41,42,,,
3,"Total transportation",,42,18,,22,
3,Agriculture,,43,18,,27,
3,Residential,,44,18,,28,
3,"Public administration",,45,18,,29,
3,"Commercial and other institutional",,46,18,,30,
3,"Statistical difference",,47,18,,,
3,"Stock change, utilities and industry",,48,,,,

Symbol Legend
Description,Symbol
"not available for a specific reference period",..
"less than the limit of detection",<LOD
"value rounded to 0 (zero) where there is a meaningful distinction between true zero and the value that was rounded",0s
"data quality: excellent",A
"data quality: very good",B
"data quality: good",C
"data quality: acceptable",D
"use with caution",E
"too unreliable to be published.",F
"not applicable",...
preliminary,p
revised,r
"suppressed to meet the confidentiality requirements of the Statistics Act",x
terminated,t

"Survey Code","Survey Name"
2003,"Monthly Coke Supply and Disposition Survey"
2147,"Monthly Coal Supply and Disposition Survey"
2148,"Monthly Oil and Other Liquid Petroleum Products Pipeline Survey"
2149,"Monthly Natural Gas Transmission Survey"
2150,"Monthly Refined Petroleum Products"
2151,"Monthly Electricity Supply and Disposition Survey"
2166,"Quarterly Industrial Consumption of Energy Survey"
2167,"Annual End-Use of Natural Gas Survey"
2168,"Annual Survey on End-Use of Refined Petroleum Products"
2191,"Monthly Oil Pipeline Statement"
2194,"Annual Electricity Supply and Disposition Survey"
